prob_name,absolute_cox,cox
201681_s_at,1.202423512,-1.202423512
211986_at,1.202166163,1.202166163
59375_at,1.199815983,1.199815983
223705_s_at,1.199663752,-1.199663752
213980_s_at,1.197635561,1.197635561
211070_x_at,1.196938131,1.196938131
205049_s_at,1.196552632,1.196552632
204661_at,1.196496394,1.196496394
209177_at,1.196130418,1.196130418
209882_at,1.195795674,-1.195795674
226098_at,1.195282826,1.195282826
228918_at,1.194918592,-1.194918592
226757_at,1.19424026,-1.19424026
1553849_at,1.19363176,1.19363176
218122_s_at,1.193554219,-1.193554219
207173_x_at,1.192721935,1.192721935
213256_at,1.191451218,-1.191451218
216834_at,1.191096994,-1.191096994
244287_at,1.190016446,-1.190016446
204336_s_at,1.189856437,1.189856437
205010_at,1.187119465,1.187119465
213238_at,1.186964782,1.186964782
213888_s_at,1.186778582,1.186778582
223037_at,1.185404507,1.185404507
201164_s_at,1.184824447,-1.184824447
243256_at,1.184476522,1.184476522
37152_at,1.183230546,-1.183230546
222390_at,1.183227974,-1.183227974
208934_s_at,1.18141058,-1.18141058
232500_at,1.181003172,-1.181003172
243618_s_at,1.18096628,-1.18096628
223195_s_at,1.179970918,-1.179970918
