	h_avg	h_train1	h_train2	h_train3	h_train4	h_train5	whole_data
1553348_a_at	0.45573654419378473	0.2732955651820828	0.492969235017316	0.5641110610072331	0.4191456577579607	0.5291612020043309	0.5232652624001104
1553349_at	0.3796859840853504	0.4114363016315644	0.5285649453607273	0.5257126909665372	0.16167112713898402	0.27104485532893924	0.2687620598002668
1553359_at	0.10139798368018108	0.10387441439695937	0.03950848806725371	0.172945522626481	0.05863485587322974	0.1320266374369815	0.05978179006312631
1553361_x_at	0.2870893887708824	0.4733298071224243	0.04299209370310381	0.3088517716888125	0.24683672953276461	0.3634365418073069	0.27477803754975516
1553365_at	0.06497130556945233	0.006743716840812328	0.18352430980704382	0.01601276300533031	0.04991207253800382	0.0686636656560714	0.055182012319818875
1553369_at	0.355023048070088	0.2791992501100924	0.6781759726431609	0.2777888471019705	0.2099385413647957	0.3300126291304206	0.15243351475577657
1553380_at	0.3451996517446419	0.4512866841584743	0.5170815009468115	0.1904583524203144	0.3826094232907353	0.18456229790687398	0.3828588480381888
1553396_a_at	0.1049699133298146	0.09740124616324441	0.04179661693662937	0.2553995678186357	0.05162126544775558	0.0786308702828079	0.07124617387758948
1553397_at	0.12250635332232522	0.3001388048256649	0.02409595632114137	0.061829321741945685	0.06322276852699069	0.1632449151958835	0.01943963106165265
1553407_at	0.3702041938546874	0.33970101948437553	0.14150906250792875	0.570268890480041	0.09893517727859069	0.700606819522501	0.38077509732939746
1553423_a_at	0.3269097721855324	0.15412051814964461	0.6096013542393057	0.42779422940876605	0.04742199681846836	0.3956107623114776	0.3828706449361569
1553436_at	0.29422983643632106	0.5215434578233973	0.4260178181505466	0.20063928177496385	0.189190114404356	0.13375851002834138	0.31276392414991716
1553438_at	0.24724626374286413	0.2343120390953485	0.1086457683642016	0.1945164910839634	0.2484909899643916	0.45026603020641554	0.29753187851372065
1553444_a_at	0.25274679167244024	0.3536113367457507	0.116572614125293	0.07422402235637361	0.4621813044772789	0.2571446806575051	0.27218965701821346
1553447_at	0.13846587755722448	0.033664058749646036	0.07437606115263466	0.32437121526527773	0.03220768248435712	0.2277103701342069	0.12219800519400742
1553459_at	0.1740893555616001	0.4024367982930618	0.1714796410703335	0.07956309676443572	0.006317969162713787	0.21064927251745574	0.11556276902404428
1553460_at	0.15657811275431488	0.149065702545834	0.10957870449400577	0.15795149055137198	0.240375525942341	0.12591914023802162	0.17665751782886352
1553464_at	0.13255698375322975	0.03707401491448061	0.07593075114581514	0.05237069137679601	0.24744417151192047	0.2499652898171365	0.10609017108055407
1553499_s_at	0.12454689470870109	0.15378032905910363	0.13098056048066675	0.0031039754942094075	0.05660890679579192	0.2782607017137336	0.08965151775964773
1553510_s_at	0.23934287312454786	0.20293861463071133	0.47005412066931096	0.47285023943877724	0.03307650261435363	0.01779488826958624	0.23920853293408864
1553526_at	0.2488684124430011	0.4253582049482167	0.19594082134433458	0.24373111535690056	0.11444965789884957	0.26486226266670393	0.23981522798666377
